model,mode,M,N,experiment_id,RMSE,MAE,R2
ridge,global,60,15,20260307_081550,12.29809284210205,8.452303886413574,0.9798601865768433
ridge,global,60,30,20260307_160547,18.63774871826172,13.134342193603516,0.9537215232849121
ridge,global,60,15,20260308_220939,12.29809284210205,8.452303886413574,0.9798601865768433
ridge,global,60,30,20260309_013605,18.63774871826172,13.134342193603516,0.9537215232849121
ridge,global,60,45,20260309_050409,23.16008949279785,16.884973526000977,0.9284656047821045
ridge,global,60,60,20260309_083221,27.206165313720703,20.323932647705078,0.9011958837509155
ridge,global,60,75,20260309_122530,30.74470329284668,23.398193359375,0.8737607598304749
ridge,global,60,90,20260309_171537,33.97249984741211,26.249412536621094,0.8457211256027222
