model,mode,M,N,experiment_id,RMSE,MAE,R2
mlp,global,60,15,20260307_112056,16.351131439208984,10.59768295288086,0.9643979072570801
mlp,global,60,15,20260310_201308,15.8774995803833,10.364957809448242,0.9662321209907532,0.12874106764558996
mlp,global,60,15,20260310_202713,15.8774995803833,10.364957809448242,0.9662321209907532,0.12874106764558996
mlp,global,60,15,20260310_203221,15.8774995803833,10.364957809448242,0.9662321209907532,0.12874106764558996
mlp,global,60,15,20260310_203809,15.8774995803833,10.364957809448242,0.9662321209907532,0.12874106764558996
mlp,global,60,105,20260310_203745,55.604671478271484,39.758365631103516,0.5837901830673218,0.4460483233289595
mlp,global,60,30,20260310_203809,24.618608474731445,16.399686813354492,0.9188041687011719,0.1991413061315122
mlp,global,60,120,20260310_203745,60.9289436340332,43.096168518066406,0.4995080232620239,0.48795572025613454
mlp,global,60,45,20260310_203809,32.05897903442383,22.178382873535156,0.8622328042984009,0.258711795763429
mlp,global,60,135,20260310_203745,61.35113525390625,44.92797088623047,0.4914933443069458,0.4905096687501727
mlp,global,60,60,20260310_203809,36.35710525512695,25.37891387939453,0.8226595520973206,0.2928808733991389
mlp,global,60,150,20260310_203745,65.52462005615234,47.999088287353516,0.41929352283477783,0.5233463310061832
mlp,global,60,75,20260310_203809,42.67599868774414,29.81789779663086,0.755513072013855,0.34339574027170583
mlp,global,60,165,20260310_203745,65.90908813476562,48.854400634765625,0.4120885729789734,0.5262673237772079
mlp,global,60,90,20260310_203809,48.18508529663086,34.380455017089844,0.6879546642303467,0.3871915662003565
mlp,global,60,180,20260310_203745,71.96317291259766,52.103031158447266,0.29848331212997437,0.5739641531817782
