model,M,N,label,RMSE,MAE,R2,NRMSE
random_forest,60,15,全局模型预测,12.874236605623784,8.730893777525614,0.9779289729928666,
random_forest,60,15,分层净功率（扣线损）,14.406184719065443,10.20238707996959,0.9723638508729896,
random_forest,60,30,全局模型预测,32.335758363045784,20.49353351587285,0.8026933572515358,0.3792388020698445
random_forest,60,30,分层净功率（扣线损）,31.42875571368325,20.66031377497537,0.8136068362093246,0.3686013339654463
random_forest,60,45,全局模型预测,39.14880471563728,25.04929124198494,0.7079046274951089,0.4607733194105712
random_forest,60,45,分层净功率（扣线损）,37.09411589641838,24.898842637997493,0.7377607390772983,0.4365900577640383
random_forest,60,60,全局模型预测,44.21506947487411,28.80819779649514,0.6232377188468325,0.5222401671054516
random_forest,60,60,分层净功率（扣线损）,41.28375358992736,28.0865166578208,0.6715379881449677,0.4876173356641624
random_forest,60,75,全局模型预测,47.8060055695799,31.373413056227974,0.5514309838170621,0.568122463763514
random_forest,60,75,分层净功率（扣线损）,44.29343739817992,30.434819114296737,0.6149269479833007,0.5263794053360832
random_forest,60,90,全局模型预测,50.89957802589441,33.93364373160529,0.4838106711566579,0.6077694064699014
random_forest,60,90,分层净功率（扣线损）,46.780722245237854,32.5112376404827,0.5639718748607265,0.5585879666577436
random_forest,60,105,全局模型预测,52.64566986036348,35.54106223597103,0.4440916598142658,0.6294327485420604
random_forest,60,105,分层净功率（扣线损）,48.83274059569093,34.30179826337247,0.5217003371921498,0.5838452851585576
random_forest,60,120,全局模型预测,54.70845341694355,37.709139592605766,0.4006654707472482,0.6533433091586107
random_forest,60,120,分层净功率（扣线损）,50.48910782853444,36.07384068814685,0.489546933611056,0.6029547304831034
random_forest,60,135,全局模型预测,49.59863811947465,37.20817631489152,0.6692620032794576,
random_forest,60,135,分层净功率（扣线损）,42.95584000275628,33.550360533887016,0.7519215611866783,
ridge,60,15,全局模型预测,12.298092705518584,8.452303244953162,0.9798602027392844,
ridge,60,15,分层净功率（扣线损）,13.889734277311431,9.817911866533644,0.9743098024366096,
ridge,60,30,全局模型预测,18.63774840174856,13.134341982704646,0.9537215237351524,
ridge,60,30,分层净功率（扣线损）,20.16321451330955,14.75098079401644,0.9458358785976736,
ridge,60,45,全局模型预测,23.160089068451292,16.88497231123321,0.9284656355021808,
ridge,60,45,分层净功率（扣线损）,24.74262574136213,18.63874696106593,0.9183557047068178,
ridge,60,60,全局模型预测,27.206166502493165,20.32393393356223,0.9011958554319608,
ridge,60,60,分层净功率（扣线损）,28.80881827589751,22.073926291036653,0.8892123507486952,
ridge,60,75,全局模型预测,30.744704020999546,23.39819321695764,0.873760733124742,
ridge,60,75,分层净功率（扣线损）,32.3719630348051,25.136301814974907,0.8600438772915395,
ridge,60,90,全局模型预测,33.45201080785774,25.707498372190003,0.8496037975821541,0.2688038335215534
ridge,60,90,分层净功率（扣线损）,35.01615546968077,27.28988569784485,0.8352105754846869,0.2813725273347679
ridge,60,105,全局模型预测,36.35100181389061,28.195199490424663,0.8221218813701288,0.2915996733301645
ridge,60,105,分层净功率（扣线损）,37.89154041780523,29.725019436432564,0.8067256234033418,0.3039575322952056
ridge,60,120,全局模型预测,39.06958020881915,30.44721772567145,0.7942085424510843,0.3128927693116296
ridge,60,120,分层净功率（扣线损）,40.58438151821769,32.03672593661128,0.7779413387027989,0.3250242120893947
ridge,60,135,全局模型预测,41.68404626308164,32.77049394998061,0.7652577960688826,0.333268931885362
ridge,60,135,分层净功率（扣线损）,43.17386650287951,34.35752201744069,0.7481781976724224,0.3451802227635313
ridge,60,150,全局模型预测,44.17040432281623,35.01397875955573,0.7361176114590701,0.3527898501747418
ridge,60,150,分层净功率（扣线损）,45.65464214240831,36.58696449171764,0.718085416209211,0.3646444855584414
ridge,60,165,全局模型预测,46.59608707362428,37.21001962512361,0.7061537115359655,0.3720579397345375
ridge,60,165,分层净功率（扣线损）,48.00003499447707,38.71302380274873,0.6881796739998405,0.3832681078780929
ridge,60,180,全局模型预测,48.93557839940099,39.31708794617145,0.6756104442411335,0.3903005681678867
ridge,60,180,分层净功率（扣线损）,50.329968610086375,40.779266614383,0.6568604872233947,0.4014219507953966
xgboost,60,15,全局模型预测,12.305674897393237,8.299420463823424,0.9798353613456884,
xgboost,60,15,分层净功率（扣线损）,14.065829571131058,9.815577373867994,0.9736542679034254,
xgboost,60,30,全局模型预测,18.85959797044151,13.07381851223217,0.9526132391699454,
xgboost,60,30,分层净功率（扣线损）,20.210196365250244,14.472702897421762,0.9455831713281636,
xgboost,60,45,全局模型预测,24.05395433174492,17.379719015149124,0.9228373317452,
xgboost,60,45,分层净功率（扣线损）,24.71989705150691,18.187908249493518,0.9185056334632106,
xgboost,60,60,全局模型预测,30.583958525147278,22.08400974873436,0.8751387002770755,
xgboost,60,60,分层净功率（扣线损）,28.61616005407475,21.41122080903116,0.8906891751065943,
xgboost,60,75,全局模型预测,46.4980288554421,31.06585223024335,0.5756409755978059,0.5525785808448767
xgboost,60,75,分层净功率（扣线损）,45.064935026896514,31.48242913468624,0.6013958137487974,0.5355478168858882
xgboost,60,90,全局模型预测,49.44868349974569,34.065065789041384,0.5128192433680994,0.5904449150063528
xgboost,60,90,分层净功率（扣线损）,47.4026711112089,33.735749129342,0.5523008317757025,0.5660143836888151
xgboost,60,105,全局模型预测,42.09667054256403,31.496558808404338,0.7626792572503948,
xgboost,60,105,分层净功率（扣线损）,38.12082899450895,29.3623888125692,0.8053901245214937,
xgboost,60,120,全局模型预测,45.95740756480771,34.17340962882132,0.7166552004436832,
xgboost,60,120,分层净功率（扣线损）,40.78128144850704,31.637968848601453,0.7768864543647299,
xgboost,60,135,全局模型预测,49.53652863555191,36.93861167601447,0.6700898124820771,
xgboost,60,135,分层净功率（扣线损）,43.365700801532746,34.00436961030312,0.7471649226088029,
xgboost,60,150,全局模型预测,54.36888446791959,40.17493946727127,0.6021132184729157,
xgboost,60,150,分层净功率（扣线损）,45.738966975379,36.128552483835286,0.7184008300963642,
xgboost,60,165,全局模型预测,56.33861465540409,42.19124725157302,0.5725432253649227,
xgboost,60,165,分层净功率（扣线损）,48.11645543041914,38.27239025146078,0.68820644699416,
xgboost,60,180,全局模型预测,58.73920962730488,44.34438381470296,0.534845415273353,
xgboost,60,180,分层净功率（扣线损）,50.4712079550477,40.370957026263696,0.6565776885609201,
